ids,en,de
34,You yourself know best how difficult and complicated the legal situation is between Parliament and the firms contracted to build the hemicycle .,"Sie wissen selbst am besten , wie schwierig und kompliziert die Rechtslage zwischen Parlament und den Firmen ist , die mit dem Bau des Gebäudes beauftragt sind ."
35,"After all , we have in you an expert who is in any case closely concerned with these matters .","Wir haben ja mit Ihnen einen Experten , der ohnehin mit diesen Fragen eng befaßt ist ."
36,"Mr President , I should like to deal very briefly with two matters .","Herr Präsident , ich möchte ganz kurz zwei Punkte ansprechen ."
37,Thank you !,Vielen Dank !
38,Order of business,Arbeitsplan
39,The next item is the order of business .,Wir kommen nun zur Festsetzung des Arbeitsplans .
40,The final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 11 April 1996 pursuant to Rule 95 of the Rules of Procedure has been distributed .,"Der endgültige Entwurf der Tagesordnung , wie er von der Konferenz der Präsidenten in der Sitzung vom 11. April 1996 gemäß Artikel 95 der Geschäftsordnung aufgestellt wurde , ist verteilt worden ."
41,No amendments have been proposed .,Es liegen keine Änderungsanträge vor .
42,"Mr President , I should like to ask a question .","Herr Präsident , ich möchte Sie etwas fragen ."
43,"We were too late to hand it in , but it has been discussed with a number of Members . It is the following .","Wir konnten es nicht mehr rechtzeitig einreichen , aber hatten bereits mit einer Reihe Kollegen darüber gesprochen ."
44,"I think that in view of present events in the Middle East , we ought to ask whether the Council can make a statement on Wednesday afternoon about the way things are going .","Es geht um folgendes : Angesichts der Ereignisse , die sich zur Zeit im Nahen Osten abspielen , würden wir den Rat gern ersuchen , Mittwoch nachmittag eine Erklärung über den Verlauf der Dinge abzugeben ."
45,We note that the situation is changing every day . We see that the French Government has sent a mediator .,"Wir stellen fest , daß sich die Lage dort täglich ändert , und daß die französische Regierung einen Vermittler dorthin entsandt hat ."
46,"We hear nothing from the presidency . Nor have we heard anything , unfortunately , from the Commission .",Aber wir haben nichts dergleichen von der Präsidentschaft vernommen und leider auch nicht von der Europäischen Kommission .
47,That is reason enough for us to be put in the picture .,"Also besteht Grund genug , uns auf dem laufenden zu halten ."
48,I should like to ask you to see whether it is possible for the Italian presidency to do that on Wednesday afternoon .,"Ich möchte Sie ersuchen festzustellen , ob die italienische Präsidentschaft das Mittwoch nachmittag tun kann ."
49,We recognize that the agenda is very full .,"Wir sind uns bewußt , daß die Tagesordnung schon sehr voll ist ."
50,Then we could deal with Chernobyl some time later .,Tschernobyl könnte dann etwas später an die Reihe kommen .
51,"I offer that as a suggestion , Mr President .","Das wollte ich Ihnen vorschlagen , Herr Präsident ."
52,If you would like to arrange things some other way so that we do not need to take Chernobyl off the agenda that would suit us just as well .,"Falls Sie jedoch einen anderen Weg sehen , damit Tschernobyl nicht von der Tagesordnung genommen werden muß , und die Sache anders regeln können , ist uns das ebenso recht ."
53,"Mr President , my group is certainly of the view that what is happening in the Middle East is very significant and that we cannot let this week with Parliament in full session pass without any response or discussion .","Herr Präsident , meine Fraktion vertritt zweifelsohne die Ansicht , daß die Ereignisse im Nahen Osten sehr bedeutsam sind und daß wir die Plenartagung des Parlaments in dieser Woche nicht ohne eine Antwort oder Diskussion verstreichen lassen dürfen ."
54,"Could we leave it to you , Mr President , to see whether the Council is prepared to make a statement on the Middle East and what is happening in the Lebanon ?","Werden Sie , Herr Präsident , prüfen , ob der Rat bereit ist , eine Erklärung zum Nahen Osten und zu den Ereignissen im Libanon abzugeben ?"
55,Could we then look to you to see what is possible .,Werden Sie sich mit den möglichen Schritten befassen ?
56,"I am reluctant , as I know many of my colleagues are , to remove Chernobyl from the agenda , as suggested by Mrs Oomen-Ruijten .","Ebenso wie zahlreiche meiner Kollegen zögere ich , Tschernobyl - wie von Frau Oomen-Ruijten vorgeschlagen - von der Tagesordnung zu streichen ."
57,"However , it would be possible for us to come back to the issue of Chernobyl which does not have such immediacy although it is the tenth anniversary .","Wir könnten das Thema Tschernobyl jedoch wieder aufgreifen , das nicht übermäßig dringlich ist , obwohl es sich um den zehnten Jahrestag handelt ."
58,"We could take this in two weeks ' time , whereas the issue of Lebanon is crucial at this moment .","Wir könnten uns in zwei Wochen wieder damit befassen , während der Libanon jedoch gerade zum jetzigen Zeitpunkt von großer Bedeutung ist ."
59,"Perhaps , Mr President , we could ask you to look at this with the Council and see what would be possible .","Herr Präsident , wir ersuchen Sie , dies mit dem Rat zu erörtern und das Mögliche zu veranlassen ."
60,"Mr President , I am glad to support Mrs Oomen-Ruijten 's suggestion , supported by Mrs Green - with one slight reservation .","Herr Präsident , ich möchte mich dem Vorschlag von Frau Oomen-Ruijten anschließen , den Frau Green auch unterstützt , nur mit einer Randbemerkung ."
61,"That is no problem for me ; I think it is a good initiative , but again Europe is absent .",Es darf nicht wieder geschehen !
62,"That was previously the case in the crisis between Turkey and Greece , and then Mr Holbrooke rightly said :","Meine Fraktion verlangt , daß die italienische Präsidentschaft hier vor uns erklärt , welche Rolle sie spielt ."
63,"Mr President , ladies and gentlemen , I think it is important that we should discuss the situation in the Middle East this week .","Herr Präsident , liebe Kolleginnen und Kollegen ! Ich halte es für wichtig , daß wir diese Woche über die Situation im Nahen Osten reden ."
64,We all agree on that .,Darin sind wir uns alle einig .
65,But I think it is equally important that we discuss Chernobyl this week .,"Ich halte es aber für genauso wichtig und notwendig , daß wir diese Woche über Tschernobyl reden ."
66,I cannot support this proposal .,Ich kann diesen Vorschlag nicht nachvollziehen .
67,The whole world is talking about the tenth anniversary .,Die ganze Welt redet über den zehnten Jahrestag .
68,A major conference was held in Vienna .,In Wien gab es eine große Konferenz .
69,There was a tribunal .,Es gab ein Tribunal .
70,And then we say we will postpone it to whenever .,"Wir aber sagen , wir verschieben das auf irgendwann einmal ."
71,I really think it would show Parliament in a poor light if we do not discuss it on Wednesday .,"Ich halte es wirklich für ein Armutszeugnis des Parlaments , wenn wir am Mittwoch nicht darüber reden ."
72,There are various other options .,Es gibt verschiedene andere Möglichkeiten .
73,"We can listen to the Council on the subject on Wednesday morning , but please not just in a week 's time .","Wir können am Mittwoch vormittag den Rat dazu hören , aber bitte doch nicht erst in einer Woche ."
74,"At a time when the whole world is discussing Chernobyl and the effects of that disaster , we in this Parliament cannot say , we shall hold back and say nothing about it !","Jetzt , da die ganze Welt über Tschernobyl und die Auswirkungen dieser Katastrophe redet , können wir als Parlament nicht sagen , wir halten uns zurück und sagen nichts dazu !"
75,"Mr President , I have already given you the reasons why the Council should make a statement about the bombardment of Lebanon .","Herr Präsident , ich habe bereits erklärt , aus welchen Gründen eine Erklärung des Rates zu den Bombenangriffen auf den Libanon angebracht wäre ."
76,That would be a bad sign for the Intergovernmental Conference and for the future of the European Union .,Das wäre ein schlechtes Zeichen für die Regierungskonferenz und auch für die Zukunft der Europäischen Union .
77,"But I think , like Mrs Roth , that we cannot make the subject of Chernobyl and the subject of the Middle East compete in the ' free market for news items ' .","Ich bin allerdings wie Frau Roth der Meinung , daß wir das Thema Tschernobyl und das Thema Naher Osten nicht auf dem "" freien Markt der aktuellen Themen "" miteinander konkurrieren lassen sollten ."
78,We must seek out the opportunity to discuss both subjects .,"Wir müssen eine Möglichkeit finden , über beide Themen zu diskutieren ."
79,"Mr President , like previous colleagues , I believe it to be absolutely essential that the Council make a statement on Wednesday about the Middle East situation , particularly in southern Lebanon .","Herr Präsident , so wie die Kollegen , die vor mir gesprochen haben , finde auch ich , daß der Rat Mittwoch unbedingt eine Erklärung über die Lage im Nahen Osten und insbesondere im südlichen Libanon abgeben sollte ."
80,What is happening there is worrying and distressing because the whole peace process that has been under way for several months could be threatened .,"Was dort geschieht , macht uns Sorgen und Angst , da der gesamte Friedensprozeß , der jetzt seit mehreren Monaten läuft , hier wieder zunichte gemacht zu werden droht ."
81,"We should also remember Lebanon itself , which has been ravaged for many years , under the domination of one foreign power while part of its territory is occupied by another .","Man muß dabei auch an den Libanon denken , einen Staat , der seit Jahren unter der Herrschaft einer fremden Macht zu leiden hat und dessen Grundgebiet eine andere ausländische Macht zum Teil besetzt hält ."
82,"Ladies and gentlemen , this is one of the cases where there is no satisfactory solution because someone is bound to be disappointed and any decision is bound to be to the detriment of someone 's interests .","Kolleginnen und Kollegen ! Das ist einer der Fälle , in denen es keine befriedigende Lösung gibt , weil man irgendwem immer weh tun muß , und eine Entscheidung geht immer zu Lasten irgendeines Interesses hier ."
83,Let me describe the situation to you as I see it .,Ich will Ihnen die Situation einmal aus meiner Sicht schildern .
84,"First , let me please establish whether the Council is prepared and in a position to make a statement .","Erstens : Lassen Sie mich zunächst bitte einmal klären , ob der Rat bereit und in der Lage ist , eine Erklärung abzugeben ."
85,But it would be neither right nor a good idea to shorten that debate since the Italian President-in-Office of the Council will be here on Wednesday morning .,"Es wäre aber auch nicht richtig und nicht günstig , wenn wir das verkürzen würden , zumal der italienische Ratspräsident am Mittwoch morgen hier sein wird ."
86,So the only possible compromise is to postpone the Gonzáles Álvarez report and cut Question Time by half an hour .,"Also kann der mögliche Kompromiß nur darin liegen , daß wir den Bericht Gonzales Alvarez verschieben und die Fragestunde um eine halbe Stunde verkürzen ."
87,I realise that to do so would be at the cost of Members who have questions .,"Ich weiß , daß das auf Kosten der Mitlgieder geht , die Fragen haben ."
88,That is regrettable .,Das ist bedauerlich .
89,"It is not that we will satisfy everybody this way , but if we are to try to find a solution , I am convinced that is the only possible one .","Es ist nicht so , daß wir damit alle zufriedenstellen , aber wenn wir versuchen wollen , eine Lösung zu finden , kann sie meiner Überzeugung nach nur darin liegen ."
90,The order of business for this week is thus established .,Damit ist der Arbeitsplan für diese Woche festgelegt .
91,Energy efficiency,Energieeffizienz
92,"Overall , this proposal is very vague and general and , sadly , contains no real topics or projects .",Überhaupt bleibt der hier vorliegende Vorschlag nur sehr vage und allgemein und enthält leider keine konkreten Themen und Projekte .
93,"The legislative level has been disregarded entirely , although the evaluation of SAVE I showed that 80 % of the successes of that programme were achieved by means of legislative measures .","Die legislative Ebene wurde völlig außer acht gelassen , obwohl die Evaluierung von SAVE I ergeben hat , daß die Erfolge dieses Programms zu 80 % auf das legislative Element zurückzuführen sind ."
94,Many of the proposals for directives and action programmes planned by the Commission have for some obscure reason never seen the light of day .,Viele von der Kommission geplante Richtlinienvorschläge und Aktionsprogramme blieben aber aus unerfindlichen Gründen in der Schublade .
95,"For instance , it has been estimated that the introduction of calorimeters would have yielded savings of approximately 4.75 million tonnes of crude oil units and a CO2 reduction by the year 2010 of 12 million tonnes per year .","Die Einführung von Wärmemessern hätte beispielsweise nach Schätzung zu einer Einsparung von 4 , 75 Millionen Tonnen Rohöleinheiten und einer CO2 -Reduzierung im Jahre 2010 von 12 Millionen Tonnen jährlich geführt ."
96,The savings from the introduction of an energy certificate for buildings would have been far higher than that even .,Die Einsparungen durch die Einführung eines Energieausweises für Gebäude wären noch weitaus höher gewesen .
97,This list could be extended forever .,Diese Aufzählung ließe sich beliebig fortführen .
98,"It is clear that whenever the practical will is not there , subsidiarity is brought up as an argument .","Es ist festzustellen , daß immer dann , wenn der praktische Wille fehlt , die Subsidiarität ins Feld geführt wird ."
99,"That is why the responsibility for achieving the efficiency target and at the same time reducing CO2 lies with the Community , which in fact takes action when an objective can be achieved more effectively by Community measures .","Darum liegt die Verantwortung für das Erreichen des Effizienzzieles und der damit einhergehenden CO2 -Reduzierung bei der Gemeinschaft , die nämlich dann tätig wird , wenn das Ziel besser durch gemeinschaftliche Maßnahmen erreicht werden kann ."
100,"Strictly speaking , it is the credibility of the EU that is at stake here .",Und genaugenommen steht hier die Glaubwürdigkeit der EU auf dem Spiel .
101,The Commission and the Council have constantly declared how vital it is to reduce CO2 and to save energy .,"Kommission und Rat haben ständig beteuert , wie lebenswichtig CO2 -Reduzierung und Energieeinsparung sind ."
102,"The Council has set objectives in a series of resolutions , for example in its resolutions of 16.9.86 and 29.10.90 and in the commitments it made in Rio and Berlin .","Der Rat hat in einer Reihe von Entschließungen , beispielsweise in seinen Entschließungen vom 16.09.86 und 29.10.90 , und in den Verpflichtungen , die in Rio und Berlin eingegangen wurden , Ziele formuliert ."
103,"So far , however , there has been no more than grandiloquent announcements and reams of paper .",Bislang ist es jedoch bei pompösen Ankündigungen und viel Papier geblieben .
104,The Commission itself estimates that the CO2 emissions will rise by up to 8 % in the period from 1995 to 2000 .,"Die Kommission schätzt selbst , daß die CO2 -Emission im Zeitraum von 1995-2000 noch um bis zu 8 % steigen wird ."
105,"So one may well ask : is the Community actually taking its own practical declarations of intent and obligations towards its citizens , and towards the international community , seriously or is this just a theatre of the absurd ?","Die Frage sei nun erlaubt : Nimmt die Gemeinschaft eigentlich ihre eigenen praktischen Absichtserklärungen und Verpflichtungen gegenüber ihren Bürgerinnen und Bürgern , aber auch gegenüber der internationalen Staatengemeinschaft ernst , oder wird hier absurdes Theater gespielt ?"
106,"If it really is being serious , words must finally be followed by deeds .","Wenn sie es nämlich ernst meint , müssen den Worten endlich Taten folgen ."
107,We urgently need genuine measures to combat the greenhouse effect and increase energy efficiency .,Wir benötigen dringend echte Maßnahmen zur Bekämpfung des Treibhauseffekts und zur Steigerung der Energieeffizienz .
108,The situation is too serious to allow for any further delay .,"Die Lage ist zu ernst , um einen weiteren Aufschub zu dulden ."
109,"A beginning might be made with a genuinely ambitious SAVE II programme , as proposed by the Committee on Research , Technological Development and Energy .","Ein Anfang könnte das wirklich ambitionierte SAVE II-Programm sein , so wie es jetzt vom Ausschuß für Forschung , technologische Entwicklung und Energie vorgelegt wurde ."
110,That is why the amendments tabled by that committee should quite definitely be adopted .,Darum sollten die Änderungsanträge dieses Ausschusses unbedingt angenommen werden .
111,The objection that such programmes can only be disruptive given the current economic climate and unemployment level in many Member States is unacceptable and merely ridiculous .,"Der Einwand , bei der jetzigen wirtschaftlichen Situation und der Arbeitslosigkeit in vielen Mitgliedsländern seien solche Programme nur störend , ist nicht hinnehmbar und einfach lächerlich ."
112,"For in addition to their environmental dimension , they can also have a substantial positive impact on the economy .",Neben der ökologischen Komponente ist nämlich auch ein erheblicher positiver Einfluß auf die Ökonomie feststellbar .
113,"According to the Commission , apart from its effects on the quality of life , these savings would also have positive effects on employment .","Ich zitiere hier die Kommission : "" Die Einsparungen zeitigen so neben den Auswirkungen auf die Lebensqualität auch positive Beschäftigungseffekte ."
114,Let me repeat that I deeply regret that the committee did not accept my proposal that we extricate ourselves from this unholy cooperation procedure and aim at a co-decision procedure .,"Ich möchte nochmals sagen , ich bedauere es zutiefst , daß der Ausschuß meinem Vorschlag nicht gefolgt ist , von diesem unseligen Verfahren der Zusammenarbeit loszukommen und das Mitentscheidungsverfahren anzustreben ."
115,It would have been more sensible for Parliament always to apply the co-decision procedure .,"Es wäre klüger gewesen , wenn das Parlament immer beim Mitentscheidungsverfahren bliebe ."
116,If we give the money we should also be able to say that we would like to see legislative measures .,"Wenn wir das Geld geben , sollten wir auch sagen , daß wir legislative Maßnahmen sehen möchten ."
117,For that is the decisive point here .,Das ist hier nämlich der entscheidende Punkt .
118,"Mr President , firstly I congratulate Mrs Bloch von Blottnitz on the amazing feat of achieving consensus in the Committee on Research . Technological Development and Energy .","Herr Präsident , zunächst möchte ich Frau Bloch von Blottnitz zu der überraschenden Leistung gratulieren , im Ausschuß für Forschung , technologische Entwicklung und Energie einen Konsens erzielt zu haben ."
119,I think she is well placed through her excellent report to achieve consensus in the plenary session of Parliament .,"Meines Erachtens wird es ihr mit ihrem hervorragenden Bericht auch gelingen , in der Plenartagung des Parlaments einen Konsens zu erreichen ."
120,Energy efficiency is of fundamental importance both to the environmental and the competitiveness policies of the European Union .,Die Energieeffizienz ist für die Umwelt- und Wettbewerbspolitiken der Europäischen Union von grundlegender Bedeutung .
121,"As far as the environment is concerned , we are a long way off meeting the targets which we set ourselves in Rio .","Im Bereich der Umwelt sind wir noch weit von den Zielen entfernt , die wir uns in Rio gesetzt haben ."
122,We are suffering widespread climate instability because of that failure .,Aufgrund dieses Versäumnisses leiden wir weltweit unter Klimaveränderungen .
123,"As far as competitiveness is concerned , we see a reprehensible and incredible waste of money throughout the European Union ; billions and billions of ecus are being wasted in energy usage that is not necessary .",Im Bereich der Wettbewerbsfähigkeit stehen wir einer sträflichen und unglaublichen Verschwendung von Geldern innerhalb der ganzen Union gegenüber . Milliarden und Abermilliarden von ECU werden bei einem überflüssigen Energieverbrauch verschwendet .
124,Think of the purchasing power which those billions could release to our economy .,"Stellen Sie sich nur einmal die Kaufkraft vor , die diese Milliarden für unsere Wirtschaft bedeuten könnten ."
125,"Larger firms are , of course , aware of this .",Größere Unternehmen sind sich dessen natürlich bewußt .
126,Our target through this programme has to be the smaller firms and individual households .,Wir sollten kleinere Unternehmen und einzelne Haushalte in den Mittelpunkt dieses Programms stellen .
127,They must make the decisions which will allow us to save that energy and save that money .,"Sie müssen die Entscheidungen treffen , wodurch es uns möglich sein wird , Energie und Geld zu sparen ."
128,If we look at the history we see very rapid action following the oil shock in 1973 .,"Wenn wir auf die Vergangenheit blicken , stellen wir fest , daß nach dem Ölschock von 1973 sehr rasch Maßnahmen ergriffen wurden ."
129,"Since then , however , there has been major regression tempered only by the recession which has hit most of our countries .","Seitdem gab es jedoch eine größere Regression , die nur durch die Rezession beeinträchtigt wurde , von der die meisten unserer Länder betroffen sind ."
130,The energy / intensity use in most of the European Union is worsening .,Die Energieeffizienz verschlechtert sich in den meisten Staaten der Europäischen Union .
131,That is unacceptable .,Das ist keineswegs annehmbar .
132,"The SAVE I programme was very small beer , a very small amount of money .",Das SAVE I-Programm war nur ein kleiner Schritt .
133,"It is being evaluated , fortunately , before we move on to SAVE II .","Es wird zum Glück evaluiert , bevor wir uns mit SAVE II befassen ."
134,One would have hoped the lessons from SAVE I would be learnt .,"Man hatte gehofft , daß wir aus SAVE I unsere Lehren ziehen würden ."
135,"That is not so , as I shall explain later on .","Das dies nicht der Fall ist , werde ich später noch erläutern ."
136,One of the lessons from SAVE I was that far and away the best thing to do is to bring in binding legislation which Member States have to enforce .,"Eine der Lehren aus SAVE I war , daß man am besten verbindliche Rechtsvorschriften erläßt , die die Mitgliedstaaten umsetzen müssen ."
137,There were ambitious plans for legislation .,Es gab ehrgeizige Pläne für Rechtsvorschriften .
138,Very little of that legislation has appeared .,Nur wenige dieser Rechtsvorschriften wurden jedoch ausgearbeitet .
139,"It is true that we have legislation on the efficiency of boilers , fridges and freezers , labelling , and there is more to come .","Es gibt zwar Rechtsvorschriften über die Energieeffizienz von Heißwassergeräten , Kühl- und Gefriergeräten sowie die Etikettierung , und andere werden folgen ."
140,But that is not enough .,Das reicht jedoch nicht aus .
141,We know that the main obstacle has been the predictable resistance of manufacturers .,"Wir wissen , daß das Haupthemmnis der vorhersehbare Widerstand der Hersteller war ."
142,They have no vested interest in energy efficiency and that is clear from their stance .,"Sie haben kein begründetes Interesse an der Energieeffizienz , und das ist von ihrem Standpunkt aus auch verständlich ."
143,Let us look at the lessons .,Befassen wir uns mit den einzelnen Lehren .
144,"Firstly , legislation is what works .",Zunächst einmal muß es Rechtsvorschriften geben .
145,"Secondly , you must have targets and you must monitor them .","Zudem benötigen wir Zielvorgaben , die überwacht werden ."
146,The target in SAVE II is not ambitious ; 1.5 % increase year-on-year is not ambitious .,"Die Zielvorgabe in SAVE II ist nicht ehrgeizig ; ein jährlicher Zuwachs von 1 , 5 % ist nicht ehrgeizig ."
147,I would like to see an indicative programme issued by the Commission and monitored throughout the Member States .,"Ich würde ein richtungsweisendes Programm von der Kommission begrüßen , das in den Mitgliedstaaten überwacht wird ."
148,"Another lesson that is important , not from SAVE I but from the regional programme , is that you must incorporate measures on energy efficiency into the regional work of the EU and its policies .","Eine weitere wichtige Lehre , die nicht von SAVE I , sondern aus dem Regionalprogramm stammt , lautet , daß Maßnahmen zur Energieeffizienz in die Regionalarbeit der EU und ihre Politiken eingebunden werden müssen ."
149,They help impoverished regions .,Sie unterstützen die verarmten Regionen .
150,Of course the same would apply to third countries .,Dasselbe würde natürlich auch für die Drittländer gelten .
151,I would like to see far more emphasis in our dealings with countries in Central and Eastern Europe and the Mediterranean areas on energy efficiency .,"Ich würde es begrüßen , wenn in unseren Verhandlungen mit den Ländern Mittel- und Osteuropas und im Mittelmeerraum größere Betonung auf die Energieeffizienz gelegt würde ."
152,One area which must be emphasized above all is transport .,In erster Linie muß dem Verkehrsbereich Aufmerksamkeit geschenkt werden .
153,Transport takes almost half the energy cost and it uses almost half the oil .,Der Verkehr verursacht nahezu die Hälfte der Energiekosten und verbraucht nahezu die Hälfte des Erdöls .
154,We have not done enough in that sector .,In diesem Bereich haben wir nicht genug getan .
155,"Then there are domestic and industrial appliances , insulation for the heating of homes , and in some parts of the EU for the cooling of homes .","Dann sind da die Haushaltsgeräte und Industrieanlagen , die Isolierung der Anlagen zum Beheizen und in einigen Gegenden der EU zur Kühlung von Häusern und Wohnungen ."
156,There is a good home rating scheme developed in my own constituency which should be far more widespread .,"In meinem Wahlkreis wurde ein gutes Programm für Haushalte entwickelt , das eine viel größere Ausweitung erfahren sollte ."
157,"It must be made easier for third parties to finance energy-efficient measures and for the growing industry of energy services to be helped . This makes us competitive , remember .","Es sollte Dritten erleichtert werden , energiesparende Maßnahmen zu finanzieren , und auch die Unterstützung der wachsenden Industrie der Energieversorger sollte erleichtert werden , denn schließlich werden wir dadurch wettbewerbsfähig ."
158,"Combined heat and power is another very sensible measure which needs encouragement ; as do education and information throughout the EU , particularly to the target groups .","Die Kombination von Wärme und Energie ist eine weitere sehr vernünftige Maßnahme , die gefördert werden sollte , ebenso wie die Unterrichtung und Information innerhalb der EU insbesondere von Zielgruppen ."
159,We need millions of people to make decisions which do not seem obvious to them .,"Millionen von Menschen müssen Entscheidungen treffen , die ihnen nicht offensichtlich erscheinen ."
160,Employment would be greatly helped by an extension of energy efficiency .,Die Beschäftigungssituation könnte durch eine Ausweitung der Energieeffizienz wesentlich verbessert werden .
161,This has been proved in study after study .,Dies wurde in zahlreichen Studien bewiesen .
162,I am therefore deeply disappointed at the negative attitude of the Council of Ministers which cannot even be bothered to get a proper legal base for the SAVE II programme .,"Ich bin deshalb sehr enttäuscht über die negative Haltung des Ministerrates , der nicht einmal in der Lage ist , eine angemessene Rechtsgrundlage für das SAVE IIProgramm zu schaffen ."
163,"That is indeed reprehensible , given the urgency .",Angesichts der gebotenen Dringlichkeit ist dieses Versäumnis wirklich sträflich .
164,I think we will see this week a very clear expression of the will of the European Parliament representing people in every Member State .,"Ich denke , daß wir diese Woche eine klare Bekundung des Willens des Europäischen Parlaments sehen werden , das die Völker aller Mitgliedsstaat repräsentiert ."
165,That will is to say : ' Let us have much stronger measures for energy efficiency ' .,Dieser Wille wird lauten : Laßt uns stärkere Maßnahmen für die Energieeffizienz erarbeiten .
166,SAVE II is nowhere near ambitious enough .,SAVE II ist keinesfalls ehrgeizig genug .
167,"It has not learned all the lessons from SAVE I. It is a very limited , minimal approach but it is absolutely essential that the Council of Ministers knows that the European Parliament is backing it very strongly indeed .","Es wurden keine Lehren aus SAVE I gezogen . Es ist sehr beschränkt , es gibt einen Minimalansatz , aber es ist überaus wichtig , daß der Ministerrat weiß , daß das Parlament es sehr stark unterstützt ."
